Date,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),THERMAL ZONE: CB1:Zone Mean Air Temperature [C](Hourly),THERMAL ZONE: CB2:Zone Mean Air Temperature [C](Hourly),THERMAL ZONE: LD:Zone Mean Air Temperature [C](Hourly),THERMAL ZONE: MB:Zone Mean Air Temperature [C](Hourly),THERMAL ZONE: LD IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),THERMAL ZONE: LD IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](Hourly),THERMAL ZONE: MB IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),THERMAL ZONE: MB IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](Hourly),THERMAL ZONE: CB1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),THERMAL ZONE: CB1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](Hourly),THERMAL ZONE: CB2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),THERMAL ZONE: CB2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](Hourly),Electricity:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly)
 06/22  19:00:00,20.64166667,29.00205678,28.36033334,25.85605085,29.5298598,0,4671169.22,0,0,0,0,0,0,1118520,240120
 06/22  20:00:00,20.6,28.64121159,28.09369536,26,28.96592241,0,2577719.526,0,0,0,0,0,0,6580440,104040
 06/22  21:00:00,20.54166667,25.97810375,25.98101684,26,28.36547179,0,2072324.107,0,0,0,2318481.282,1.18E-08,645451.8258,1190520,312120
 06/22  22:00:00,20.55833333,26,26,26,25.96704077,0,1651461.413,0,2202226.516,0,1037348.957,7.04E-09,398157.3037,1294560,416160
 06/22  23:00:00,20.6,26,26,26.5004286,26,0,0,0,1357952.502,0,699833.9745,6.38E-09,293774.8298,557280,208080
 06/22  24:00:00,20.65833333,26.75788437,26.37928096,26.49034678,27.13921759,0,0,0,0,0,0,0,0,687600,0
 06/23  01:00:00,20.7,26.81635766,26.31316324,26.2502276,27.29263273,0,0,0,0,0,0,0,0,349200,0
 06/23  02:00:00,20.75833333,26.7625764,26.21021892,26.15326201,27.25292846,0,0,0,0,0,0,0,0,349200,0
 06/23  03:00:00,20.8,26.64090238,26.02177127,25.95592879,27.12678374,0,0,0,0,0,0,0,0,349200,0
 06/23  04:00:00,20.85833333,26.5103368,25.83453174,25.74147499,26.98504647,0,0,0,0,0,0,0,0,349200,0
 06/23  05:00:00,20.9,26.42351774,25.7144104,25.67827215,26.89236516,0,0,0,0,0,0,0,0,349200,0
 06/23  06:00:00,20.95833333,26.30580873,25.54432606,25.52812173,26.76656469,0,0,0,0,0,0,0,0,349200,0
 06/23  07:00:00,21,26.26975663,25.49188481,25.7569437,25.97115621,0,0,0,0,0,0,0,0,453240,104040
 06/23  08:00:00,21,25.89599281,25.67028998,26.98619242,25.96122299,0,0,0,0,0,0,0,0,1064520,186120
 06/23  09:00:00,21,25.99999412,25.98299313,27.20636655,26.26285789,0,0,0,0,0,0,0,0,921240,104040
 06/23  10:00:00,21.23333333,26.47827279,26.52991158,27.518925,26.81248541,0,0,0,0,0,0,0,0,349200,0
 06/23  11:00:00,21.69166667,27.31643063,27.3511862,28.50600837,27.73226093,0,0,0,0,0,0,0,0,349200,0
 06/23  12:00:00,22.13333333,28.3290914,28.2339121,29.63858678,28.82667394,0,0,0,0,0,0,0,0,349200,0
 06/23  13:00:00,22.35833333,29.30887472,28.99491627,30.92281996,29.93344748,0,0,0,0,0,0,0,0,453240,104040
 06/23  14:00:00,22.45833333,30.16882382,29.64921093,31.83715625,30.91022647,0,0,0,0,0,0,0,0,453240,104040
 06/23  15:00:00,22.55833333,30.74707853,30.05553461,32.02172937,31.54454467,0,0,0,0,0,0,0,0,349200,0
 06/23  16:00:00,22.6,31.13935626,30.35194145,32.01103314,31.95505782,0,0,0,0,0,0,0,0,349200,0
 06/23  17:00:00,22.65833333,31.46261074,30.6443633,32.5413772,32.30309332,0,0,0,0,0,0,0,0,453240,104040
 06/23  18:00:00,22.7,31.56662592,30.71440292,33.03793915,32.39528537,0,0,0,0,0,0,0,0,1086480,208080
 06/23  19:00:00,22.525,31.4299563,30.56885435,25.95718281,32.14147775,0,7459245.408,0,0,0,0,0,0,1118520,240120
 06/23  20:00:00,22.16666667,31.04807893,30.27691591,26,31.42863957,0,3432657.819,0,0,0,0,0,0,6580440,104040
 06/23  21:00:00,21.825,25.97865074,25.98127027,26,30.63773335,0,2829003.808,0,0,0,3845076.735,3.63E-08,1499975.065,1190520,312120
 06/23  22:00:00,21.81666667,26,26,26,25.95354562,0,2335082.333,0,4490632.575,0,1783868.361,1.42E-08,945164.2594,1294560,416160
 06/23  23:00:00,21.95833333,26,26,27.25238314,26,0,0,0,1987524.449,0,1138399.797,1.60E-08,687402.679,557280,208080
 06/23  24:00:00,22.11666667,27.58442443,27.37882643,27.581226,28.0473664,0,0,0,0,0,0,0,0,687600,0
 06/24  01:00:00,22.2,27.79187862,27.52754168,27.46059804,28.29746049,0,0,0,0,0,0,0,0,349200,0
 06/24  02:00:00,22.25833333,27.79652043,27.47420615,27.32984471,28.28788308,0,0,0,0,0,0,0,0,349200,0
 06/24  03:00:00,22.3,27.75266312,27.36669676,27.19795948,28.23167103,0,0,0,0,0,0,0,0,349200,0
 06/24  04:00:00,22.24166667,27.6749056,27.22332206,27.06121777,28.14337292,0,0,0,0,0,0,0,0,349200,0
 06/24  05:00:00,22.08333333,27.56603197,27.04852449,26.9015462,28.02179433,0,0,0,0,0,0,0,0,349200,0
 06/24  06:00:00,21.94166667,27.45867385,26.88689453,26.7640299,27.90270757,0,0,0,0,0,0,0,0,349200,0
 06/24  07:00:00,22.83333333,27.54326309,26.98987792,27.14327622,27.29754988,0,0,0,0,0,0,0,0,453240,104040
 06/24  08:00:00,24.375,27.59612979,27.6325158,28.56057027,27.50931663,0,0,0,0,0,0,0,0,1064520,186120
 06/24  09:00:00,25.93333333,28.43241675,28.71893494,29.29129554,28.29051929,0,0,0,0,0,0,0,0,921240,104040
 06/24  10:00:00,26.95,29.61196957,29.9493726,30.18564665,29.45381732,0,0,0,0,0,0,0,0,349200,0
 06/24  11:00:00,27.55,30.87626359,31.08323198,31.45903913,30.81573326,0,0,0,0,0,0,0,0,349200,0
 06/24  12:00:00,28.15,32.09655134,32.06555726,32.75944044,32.2140583,0,0,0,0,0,0,0,0,349200,0
 06/24  13:00:00,27.93333333,33.22799785,32.93240707,34.12722513,33.54569036,0,0,0,0,0,0,0,0,453240,104040
 06/24  14:00:00,27.19166667,34.33896378,33.78081681,35.4426493,34.88228419,0,0,0,0,0,0,0,0,453240,104040
 06/24  15:00:00,26.43333333,35.27848382,34.50555445,36.22151833,36.04087159,0,0,0,0,0,0,0,0,349200,0
 06/24  16:00:00,25.63333333,35.94496197,35.00779216,36.7772021,36.84190635,0,0,0,0,0,0,0,0,349200,0
